event_name,subevent_name,event_code,description,flags
cycles_allmodes,-,-,-,type=fixed;pmc=0
cycles,-,0x11,-,-
instr,-,0x8,-,-
instr_arch_executed,-,0x8,-,-
l2_cache_accesses,-,0x16,-,-
l2_cache_refills,-,0x17,-,-
l2_cache_writebacks,-,0x18,-,-
l1_data_refills,-,0x03,-,-
l1_data_accesses,-,0x04,-,-
llc_accesses,-,0x16,-,-
llc_references,-,0x16,-,-
llc_misses,-,0x17,-,-
data_read_retired,-,0x66,-,-
data_write_retired,-,0x67,-,-
l1_instr_refills,-,0x1,-,-
itlb_misses,-,0x2,-,-
dtlb_misses,-,0x5,-,-
mispred_branches,-,0x10,-,-
inmediate_branches_retired,-,0x0d,-,-
potentially_predicted_branches,-,0x12,-,-
bus_accesses,-,0x19,-,-
data_mem_access,-,0x13,-,-
instr_cache_access,-,0x14,-,-
data_cache_eviction,-,0x15,-,-
instr_spec_executed,-,0x1b,-,-
bus_read_accesses,-,0x60,-,-
bus_write_accesses,-,0x61,-,-
ld_spec,-,0x70,Instruction speculatively executed. load,-
st_spec,-,0x71,Instruction speculatively executed. store,-
ldst_spec,-,0x72,Instruction speculatively executed. load/store,-
dp_spec,-,0x73,Instruction speculatively executed. integer/data processing,-
ase_spec,-,0x74,Instruction speculatively executed. advanced SIMD extension,-
vfp_spec,-,0x75,Instruction speculatively executed. floating point extension,-
br_indirect_spec,-,0x7a,Branch speculatively executed. indirect branch,-
